idx,venue_capacity,venue_name,venue_fuzzwuzz_score,venue_city,venue_country,venue_lat,venue_long,venue_dist_from_expected,sk_popularity,last_time_played,days_since_last_played,total_times_played_locally
5281,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.001869,2019-01-24,297,3
5282,700,Melkweg OZ,100,Amsterdam,Netherlands,52.36484,4.88127,0.0011119492667985354,0.028968,2017-05-18,914,1
5283,2200,013,100,Tilburg,Netherlands,51.560596,5.0919143,0.3313272900498454,0.026675,2015-10-04,1506,8
5284,300,Effenaar Kleine Zaal,100,Eindhoven,Netherlands,51.4415824,5.4836257,0.0004767521281239969,0.0,2019-09-12,67,8
5285,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.332256,2016-11-07,1106,4
5286,5500,AFAS Live,100,Amsterdam,Netherlands,52.31216,4.94467,0.04176316761981786,0.027131,2019-07-03,138,2
5287,,Melkweg Max,100,Amsterdam,Netherlands,52.37022,4.89517,1.1179689401007538,0.0207,2019-06-30,141,2
5288,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.001446,2013-12-12,2167,2
5289,1500,Paradiso Grote Zaal,100,Amsterdam,Netherlands,52.36228,4.88395,0.001302886576930846,0.023725,2016-11-13,1100,4
5290,1500,Effenaar Grote Zaal,100,Eindhoven,Netherlands,51.4415623,5.4833792,0.01680529741034607,0.010112,2019-06-21,151,17
5291,17000,Ziggo Dome,100,Amsterdam,Netherlands,52.31345,4.93719,0.484768346526661,0.064669,2018-06-25,512,5
5292,17000,Ziggo Dome,100,Amsterdam,Netherlands,52.31345,4.93719,0.484768346526661,0.064669,2018-06-25,512,5
5293,17000,Ziggo Dome,100,Amsterdam,Netherlands,52.31345,4.93719,0.484768346526661,0.064669,2018-06-25,512,5
5294,17000,Ziggo Dome,100,Amsterdam,Netherlands,52.31345,4.93719,0.484768346526661,0.064669,2018-06-25,512,5
5295,,Melkweg Max,100,Amsterdam,Netherlands,52.37022,4.89517,1.1179689401007538,0.015192,2018-11-13,371,2
5296,2200,013,100,Tilburg,Netherlands,51.560596,5.0919143,0.3313272900498454,0.020965,2017-08-01,840,4
5297,700,Melkweg OZ,100,Amsterdam,Netherlands,52.36484,4.88127,0.0011119492667985354,0.013361,2016-10-19,1126,1
5298,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.026194,2019-06-10,162,3
5299,5500,AFAS Live,100,Amsterdam,Netherlands,52.31216,4.94467,0.04176316761981786,0.293375,2013-11-19,2191,6
5300,17000,Ziggo Dome,100,Amsterdam,Netherlands,52.31345,4.93719,0.484768346526661,0.064669,2018-06-25,512,5
5301,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.000215,2018-11-15,369,2
5302,1500,Paradiso Grote Zaal,100,Amsterdam,Netherlands,52.36228,4.88395,0.001302886576930846,0.112534,2017-11-30,719,7
5303,,Poppodium Q-Factory,0,,,,,,0.000591,,,0
5304,,Melkweg Max,100,Amsterdam,Netherlands,52.37022,4.89517,1.1179689401007538,0.041752,2019-06-30,143,2
5305,5500,AFAS Live,100,Amsterdam,Netherlands,52.31216,4.94467,0.04176316761981786,0.054789,2016-02-08,1381,8
5306,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.073871,2016-03-02,1358,3
5307,250,Melkweg Upstairs,100,Amsterdam,Netherlands,52.36484,4.88127,0.0011119492667985354,5.4e-05,2019-07-03,140,22
5308,,Spot / De Oosterpoort,100,Groningen,Netherlands,53.21436,6.57557,0.021788241939525756,0.030252,2018-11-16,369,3
5309,850,Metropool,100,Hengelo,Netherlands,52.2611491,6.794387,8.061522996477105,0.008612,2016-06-17,1251,3
5310,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.009129,2018-10-18,398,10
5311,700,Melkweg OZ,100,Amsterdam,Netherlands,52.36484,4.88127,0.0011119492667985354,0.016062,2016-07-22,1217,7
5312,2200,013,100,Tilburg,Netherlands,51.560596,5.0919143,0.3313272900498454,0.003492,2019-09-13,69,24
5313,700,Gebr. de Nobel,100,Leiden,Netherlands,52.16307,4.4885,0.0,0.000149,2017-10-25,757,24
5314,700,Gebr. de Nobel,100,Leiden,Netherlands,52.16307,4.4885,0.0,,2015-09-24,1519,1
5315,,Melkweg Max,100,Amsterdam,Netherlands,52.37022,4.89517,1.1179689401007538,0.018693,2018-12-02,354,5
5316,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.073871,2016-03-02,1359,3
5317,5500,AFAS Live,100,Amsterdam,Netherlands,52.31216,4.94467,0.04176316761981786,0.044268,2017-11-23,728,22
5318,250,Melkweg Upstairs,100,Amsterdam,Netherlands,52.36484,4.88127,0.0011119492667985354,0.001652,,,0
5319,550,"Paradiso Noord, Tolhuistuin",100,Amsterdam,Netherlands,52.38515,4.90023,0.8221570635682047,0.011457,2018-02-13,646,6
5320,,Poppodium Q-Factory,0,,,,,,0.000372,,,0
5321,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,5.1e-05,2019-05-18,187,18
5322,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,,2014-02-28,2092,1
5323,,De Boerderij,100,Zoetermeer,Netherlands,52.0633251,4.4691837,0.0006209454469254021,,,,0
5324,,P60,100,Amstelveen,Netherlands,52.302778,4.8586982,0.01864467754195927,0.000533,2017-05-11,924,4
5325,2200,013,100,Tilburg,Netherlands,51.560596,5.0919143,0.3313272900498454,0.004873,2019-09-13,70,34
5326,1500,Effenaar Grote Zaal,100,Eindhoven,Netherlands,51.4415623,5.4833792,0.01680529741034607,0.03835,2018-01-31,660,1
5327,250,Hall of Fame,100,Tilburg,Netherlands,51.56166,5.08599,0.2535926122865675,,,,0
5328,700,Melkweg OZ,100,Amsterdam,Netherlands,52.36484,4.88127,0.0011119492667985354,0.010832,2018-10-18,400,4
5329,975,"Grote Zaal, Patronaat",100,Haarlem,Netherlands,52.3829148,4.6289243,0.08146821030472554,0.001819,2018-11-05,382,1
5330,,Dynamo,100,Eindhoven,Netherlands,51.4376604,5.4805452,0.0003356723410972805,,,,0
5331,,Spot / De Oosterpoort,100,Groningen,Netherlands,53.21436,6.57557,0.021788241939525756,0.001652,,,0
5332,5500,AFAS Live,100,Amsterdam,Netherlands,52.31216,4.94467,0.04176316761981786,0.031963,2018-10-14,404,11
5333,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.003535,2019-09-13,70,25
5334,1500,Paradiso Grote Zaal,100,Amsterdam,Netherlands,52.36228,4.88395,0.001302886576930846,0.055093,2016-11-17,1100,6
5335,,Ahoy,100,Rotterdam,Netherlands,51.88276,4.48821,0.04234317343258116,0.000943,2019-09-07,76,74
5336,250,Melkweg Upstairs,100,Amsterdam,Netherlands,52.36484,4.88127,0.0011119492667985354,,2018-06-18,522,3
5337,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.018637,2018-06-17,523,11
5338,850,Metropool,100,Hengelo,Netherlands,52.2611491,6.794387,0.00022738192040617337,0.00287,2014-10-02,1877,1
5339,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.0,2018-12-14,343,2
5340,,De Boerderij,100,Zoetermeer,Netherlands,52.0633251,4.4691837,0.0006209454469254021,0.000365,2018-10-13,405,8
5341,280,Altstadt Eindhoven,100,Eindhoven,Netherlands,51.43634,5.48219,0.0,1e-05,2019-09-21,62,7
5342,850,Metropool,100,Hengelo,Netherlands,52.2611491,6.794387,0.00022738192040617337,0.00287,,,0
5343,,De Cacaofabriek,100,Helmond,Netherlands,51.47343,5.65615,0.08525611939086566,0.000936,2019-09-06,77,26
5344,,Spot / De Oosterpoort,100,Groningen,Netherlands,53.21436,6.57557,0.021788241939525756,0.001652,,,0
5345,,Melkweg Max,100,Amsterdam,Netherlands,52.37022,4.89517,1.1179689401007538,,,,0
5346,250,Melkweg Upstairs,100,Amsterdam,Netherlands,52.36484,4.88127,0.0011119492667985354,0.000124,,,0
5347,250,Melkweg Upstairs,100,Amsterdam,Netherlands,52.36484,4.88127,0.0011119492667985354,,,,0
5348,,Dynamo,100,Eindhoven,Netherlands,51.4376604,5.4805452,0.0003356723410972805,0.079604,2011-04-22,3137,1
5349,,Melkweg Max,100,Amsterdam,Netherlands,52.37022,4.89517,1.1179689401007538,0.080817,2017-12-01,722,4
5350,700,Gebr. de Nobel,100,Leiden,Netherlands,52.16307,4.4885,0.0,0.002026,2019-05-12,195,6
5351,2200,013,100,Tilburg,Netherlands,51.560596,5.0919143,0.3313272900498454,0.000378,2019-08-30,85,3
5352,700,Gebr. de Nobel,100,Leiden,Netherlands,52.16307,4.4885,0.0,0.002026,2019-09-07,77,40
5353,,Spot / De Oosterpoort,100,Groningen,Netherlands,53.21436,6.57557,0.021788241939525756,0.004976,2016-09-24,1155,20
5354,,Café Wilhelmina,97,Eindhoven,Netherlands,51.43788,5.4718,0.0,0.000186,,,0
5355,,Poppodium Q-Factory,0,,,,,,0.01678,,,0
5356,700,Melkweg OZ,100,Amsterdam,Netherlands,52.36484,4.88127,0.0011119492667985354,,2018-03-03,630,10
